Accession,Gene Name,Description,Unique peptides,Average(ADCY7),Average(NC),log2FoldChange,FoldChange,Regulation,p-value,q-value
P49406,MRPL19,Large ribosomal subunit protein bL19m,15,14.651585,14.346615,0.304970000000001,1.23539294758568,Up,0.0104290190427256,0.35590922719236
Q9UPQ0,LIMCH1,LIM and calponin homology domains-containing protein 1,40,14.287905,13.904835,0.383070000000002,1.30411400972993,Up,0.0104815260691325,0.35590922719236
Q7Z7H5,TMED4,Transmembrane emp24 domain-containing protein 4,1,11.709145,12.354,-0.644855,0.639557066949348,Down,0.0105356257340964,0.35590922719236
P50225,SULT1A1,Sulfotransferase 1A1,1,3.564783,10.368701,-6.803918,0.00894986725668149,Down,0.0106168863315924,0.35590922719236
Q9H4I3,TRABD,TraB domain-containing protein,4,11.25762,11.11988,0.137739999999999,1.10018031890849,Up,0.0106330959020499,0.35590922719236
Q9HCD5,NCOA5,Nuclear receptor coactivator 5,21,15.41692,15.037815,0.379105000000003,1.30053479661699,Up,0.0107528254296778,0.35590922719236
P14324,FDPS,Farnesyl pyrophosphate synthase,9,13.64805,14.461215,-0.813165,0.569131919604482,Down,0.0107841925750716,0.35590922719236
P56182,RRP1,Ribosomal RNA processing protein 1 homolog A,15,16.237025,15.7517,0.485325000000003,1.39990118978478,Up,0.0107976980714948,0.35590922719236
Q15631,TSN,Translin,8,15.55225,15.882155,-0.329905,0.795588870747436,Down,0.0110338408820051,0.35590922719236
Q9UPR0,PLCL2,Inactive phospholipase C-like protein 2,11,13.55666,13.894335,-0.337675,0.791315543002885,Down,0.0110428888101656,0.35590922719236
P55786,NPEPPS,Puromycin-sensitive aminopeptidase,15,11.38709,12.113965,-0.726875,0.604211270344419,Down,0.0110476619098346,0.35590922719236
Q9NVF7,FBXO28,F-box only protein 28,13,13.551705,13.01973,0.531975000000001,1.44590723866551,Up,0.0111333286387109,0.35590922719236
Q969U7,PSMG2,Proteasome assembly chaperone 2,8,17.15307,17.45958,-0.30651,0.808595455245774,Down,0.0111987803439131,0.35590922719236
Q13642,FHL1,Four and a half LIM domains protein 1,8,12.148015,12.792305,-0.64429,0.639807584556457,Down,0.0112061521305081,0.35590922719236
Q9NXE8,CWC25,Pre-mRNA-splicing factor CWC25 homolog,10,13.105085,12.638215,0.46687,1.38210766039365,Up,0.0113136915926752,0.35590922719236
Q8TBZ3,WDR20,WD repeat-containing protein 20,4,12.120715,12.22641,-0.105695,0.929357128772398,Down,0.0113553104642594,0.35590922719236
Q03169,TNFAIP2,Tumor necrosis factor alpha-induced protein 2,17,16.11977,16.31325,-0.19348,0.874493763113375,Down,0.0113969976029499,0.35590922719236
Q96I25,RBM17,Splicing factor 45,18,14.869325,14.61231,0.257014999999999,1.19500362949314,Up,0.0115098168795168,0.35590922719236
Q9UDW1,UQCR10,Cytochrome b-c1 complex subunit 9,2,14.55563,15.12205,-0.56642,0.675290421875133,Down,0.0115320753704879,0.35590922719236
P05187,ALPP,"Alkaline phosphatase, placental type",13,17.290425,18.085665,-0.79524,0.576247303618915,Down,0.0116031053127392,0.35590922719236
Q49A26,GLYR1,Cytokine-like nuclear factor N-PAC,22,16.571035,16.345375,0.225660000000005,1.16931205975587,Up,0.0116283748921852,0.35590922719236
P63241,EIF5A,Eukaryotic translation initiation factor 5A-1,11,16.56323,17.167995,-0.604765,0.657578484067212,Down,0.0116304091141526,0.35590922719236
P06748,NPM1,Nucleophosmin,9,20.71845,20.333395,0.385054999999994,1.3059095714545,Up,0.0117717543829323,0.35590922719236
Q9NRN7,AASDHPPT,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,3,10.18492,10.74441,-0.55949,0.678541989359627,Down,0.0119076394267404,0.35590922719236
Q9Y6Y0,IVNS1ABP,Influenza virus NS1A-binding protein,2,3.564783,11.2582095,-7.6934265,0.00483112032281772,Down,0.0119186646870145,0.35590922719236
Q9ULD2,MTUS1,Microtubule-associated tumor suppressor 1,9,12.8075,13.54752,-0.74002,0.598731052077119,Down,0.0119218999079491,0.35590922719236
Q01082,SPTBN1,"Spectrin beta chain, non-erythrocytic 1",129,17.152175,16.84552,0.306654999999999,1.23683667142073,Up,0.0119598326541288,0.35590922719236
P46379,BAG6,Large proline-rich protein BAG6,14,13.425655,12.97477,0.450885,1.36687849108232,Up,0.0119687592022673,0.35590922719236
P42704,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial",67,20.49669,20.03215,0.46454,1.37987731253574,Up,0.0120426134830155,0.35590922719236
Q86U86,PBRM1,Protein polybromo-1,47,15.125335,14.92059,0.204744999999999,1.15248262457431,Up,0.0120659854875055,0.35590922719236
Q1ED39,KNOP1,Lysine-rich nucleolar protein 1,23,14.65043,14.27791,0.37252,1.29461219593115,Up,0.0120869444590631,0.35590922719236
Q9ULD4,BRPF3,Bromodomain and PHD finger-containing protein 3,11,13.45087,12.95034,0.500529999999999,1.41473319463142,Up,0.0121456701476332,0.35590922719236
Q96QD5,DEPDC7,DEP domain-containing protein 7,12,12.04744,11.695625,0.351815,1.27616511283996,Up,0.012190929118041,0.35590922719236
Q15054,POLD3,DNA polymerase delta subunit 3,9,13.28526,13.50251,-0.21725,0.860203555778114,Down,0.0121977408328751,0.35590922719236
Q13112,CHAF1B,Chromatin assembly factor 1 subunit B,12,14.40195,14.09513,0.30682,1.23697813563567,Up,0.0123778552071486,0.35590922719236
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11,19,14.687445,14.272475,0.41497,1.3332709522129,Up,0.0124202792964987,0.35590922719236
P19367,HK1,Hexokinase-1,36,15.888255,17.210545,-1.32229,0.399899671181062,Down,0.0124673476180328,0.35590922719236
Q13332,PTPRS,Receptor-type tyrosine-protein phosphatase S,17,12.850285,12.62861,0.221675000000001,1.16608665255351,Up,0.01253822721591,0.35590922719236
Q13136,PPFIA1,Liprin-alpha-1,25,14.89668,14.73534,0.161339999999999,1.11832537569978,Up,0.0125560949688541,0.35590922719236
Q14353,GAMT,Guanidinoacetate N-methyltransferase,1,3.564783,10.173184,-6.608401,0.0102488013555323,Down,0.0125794946220116,0.35590922719236
Q9Y5J5,PHLDA3,Pleckstrin homology-like domain family A member 3,3,12.88594,12.058975,0.826965,1.77394957349718,Up,0.0126387845228222,0.35590922719236
Q8WUM4,PDCD6IP,Programmed cell death 6-interacting protein,23,16.377585,16.973575,-0.59599,0.661590305732718,Down,0.0126705815707281,0.35590922719236
O43395,PRPF3,U4/U6 small nuclear ribonucleoprotein Prp3,24,16.6301,16.350735,0.279364999999999,1.2136605759831,Up,0.0126759861387463,0.35590922719236
Q13188,STK3,Serine/threonine-protein kinase 3,13,13.006635,13.14534,-0.138705,0.908334133460297,Down,0.0127053367655867,0.35590922719236
Q49AG3,ZBED5,Zinc finger BED domain-containing protein 5,16,13.8513,13.4404,0.4109,1.32951495003388,Up,0.0127413243831938,0.35590922719236
Q9BRP4,PAAF1,Proteasomal ATPase-associated factor 1,4,9.894274,10.6872005,-0.7929265,0.577172112803266,Down,0.0127571978096731,0.35590922719236
Q14103,HNRNPD,Heterogeneous nuclear ribonucleoprotein D0,13,19.724475,19.367045,0.357430000000001,1.28114165291141,Up,0.0127721353406348,0.35590922719236
Q9Y2D5,PALM2AKAP2,PALM2-AKAP2 fusion protein,21,15.703365,15.30843,0.394934999999998,1.31488351736332,Up,0.0127772745650506,0.35590922719236
Q9UGN5,PARP2,Poly [ADP-ribose] polymerase 2,11,14.00269,13.8218,0.18089,1.13358297810033,Up,0.0128436219621602,0.35590922719236
P29401,TKT,Transketolase,23,16.130225,16.98764,-0.857415,0.551940631665451,Down,0.0128466117349285,0.35590922719236
P11717,IGF2R,Cation-independent mannose-6-phosphate receptor,44,14.67443,14.836705,-0.162275,0.893614809310306,Down,0.0128739757148098,0.35590922719236
Q9Y653,ADGRG1,Adhesion G-protein coupled receptor G1,1,11.089434,3.479408,7.610026,195.364699543983,Up,0.01292615270679,0.35590922719236
P15144,ANPEP,Aminopeptidase N,18,12.192045,11.646985,0.545059999999999,1.45908102445225,Up,0.0129394279107587,0.35590922719236
Q9Y2Q5,LAMTOR2,Ragulator complex protein LAMTOR2,5,11.96603,12.550895,-0.584865,0.66671172308914,Down,0.0129605265003159,0.35590922719236
Q9H7D7,WDR26,WD repeat-containing protein 26,13,13.755525,13.49364,0.261884999999999,1.19904433184888,Up,0.0129783815635283,0.35590922719236
Q9NVR2,INTS10,Integrator complex subunit 10,23,15.348935,15.13664,0.212295000000001,1.15852967629213,Up,0.0130736779924773,0.356905958997771
O14979,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,8,18.978375,18.57498,0.403395,1.32261667894233,Up,0.0131553845096079,0.356905958997771
O75436,VPS26A,Vacuolar protein sorting-associated protein 26A,12,14.121075,14.581205,-0.46013,0.726920753509692,Down,0.0132295850525496,0.356905958997771
Q07157,TJP1,Tight junction protein 1,33,13.339065,13.03642,0.302645,1.23340363222689,Up,0.0132307398932446,0.356905958997771
P45880,VDAC2,Non-selective voltage-gated ion channel VDAC2,12,15.515645,16.123615,-0.60797,0.656119270770805,Down,0.0133692814035395,0.356965078202713
P51784,USP11,Ubiquitin carboxyl-terminal hydrolase 11,11,13.600695,13.352425,0.24827,1.18778193835312,Up,0.0134906309925927,0.356965078202713
P38432,COIL,Coilin,13,15.45171,15.131855,0.319855,1.24820509007037,Up,0.0136128483777413,0.356965078202713
Q15392,DHCR24,Delta(24)-sterol reductase,12,15.12811,14.773725,0.354385000000001,1.2784404844406,Up,0.0136288154505923,0.356965078202713
P13995,MTHFD2,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",10,15.896345,15.42275,0.473595,1.38856527660301,Up,0.013653834310337,0.356965078202713
Q96KR1,ZFR,Zinc finger RNA-binding protein,40,17.353515,17.007125,0.34639,1.2713753304438,Up,0.0136667083562211,0.356965078202713
Q96FW1,OTUB1,Ubiquitin thioesterase OTUB1,6,10.84896,11.780895,-0.931935,0.524154852796273,Down,0.0138248351204528,0.356965078202713
P62899,RPL31,Large ribosomal subunit protein eL31,6,17.04557,16.65456,0.391009999999998,1.31131110350009,Up,0.0138533093095314,0.356965078202713
O95104,SCAF4,SR-related and CTD-associated factor 4,6,14.798025,14.55193,0.246095,1.18599259324483,Up,0.0139646043458834,0.356965078202713
P98082,DAB2,Disabled homolog 2,17,15.180165,15.615485,-0.43532,0.739529703493985,Down,0.0139671773346901,0.356965078202713
P78527,PRKDC,DNA-dependent protein kinase catalytic subunit,195,17.86865,18.047515,-0.178865,0.883397711439413,Down,0.0140446110332757,0.356965078202713
Q9NVP1,DDX18,ATP-dependent RNA helicase DDX18,28,17.29863,16.981635,0.316995000000002,1.24573309818007,Up,0.0141040255047416,0.356965078202713
O95081,AGFG2,Arf-GAP domain and FG repeat-containing protein 2,5,12.7944,13.402205,-0.607805,0.656194314953834,Down,0.0141656473924786,0.356965078202713
P51828,ADCY7,Adenylate cyclase type 7,28,14.924179,9.3371095,5.5870695,48.0701533248738,Up,0.014179701023641,0.356965078202713
Q0ZGT2,NEXN,Nexilin,9,11.860625,11.54566,0.314964999999997,1.2439814737536,Up,0.0141860512616679,0.356965078202713
Q8N8S7,ENAH,Protein enabled homolog,14,15.491025,15.158205,0.33282,1.25947283013667,Up,0.0142901401652904,0.356965078202713
P68366,TUBA4A,Tubulin alpha-4A chain,16,17.39697,17.927295,-0.530325,0.692398737859553,Down,0.0143196963167693,0.356965078202713
Q02127,DHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial",9,14.208355,13.54558,0.662775,1.58312481132605,Up,0.0143790723095257,0.356965078202713
Q92522,H1-10,Histone H1.10,7,16.17342,16.51507,-0.34165,0.789138263768692,Down,0.0143875104116665,0.356965078202713
Q8IWZ8,SUGP1,SURP and G-patch domain-containing protein 1,24,14.22524,13.97444,0.2508,1.18986673431822,Up,0.0144705745789486,0.356965078202713
Q6JQN1,ACAD10,Acyl-CoA dehydrogenase family member 10,3,3.564783,11.5446855,-7.9799025,0.00396104690376246,Down,0.0145735689291537,0.356965078202713
Q99832,CCT7,T-complex protein 1 subunit eta,29,16.330595,16.16744,0.163155,1.1197331838764,Up,0.0146574635465474,0.356965078202713
Q9NXH8,TOR4A,Torsin-4A,5,12.519635,12.631165,-0.11153,0.925605922058487,Down,0.0148166048421185,0.356965078202713
Q96JP5,ZFP91,E3 ubiquitin-protein ligase ZFP91,11,14.40037,14.20428,0.196089999999998,1.1455893613339,Up,0.014890683378996,0.356965078202713
O43189,PHF1,PHD finger protein 1,5,12.299775,12.156315,0.143460000000001,1.10455097456375,Up,0.0149192081808646,0.356965078202713
O14578,CIT,Citron Rho-interacting kinase,55,13.85572,14.05694,-0.20122,0.869814702480933,Down,0.0149801805276714,0.356965078202713
P61204,ARF3,ADP-ribosylation factor 3,4,15.262685,15.618685,-0.356,0.781327880172317,Down,0.0150037204240278,0.356965078202713
P68371,TUBB4B,Tubulin beta-4B chain,6,14.81897,15.481565,-0.662595,0.631740951263625,Down,0.0150712434858359,0.356965078202713
Q93009,USP7,Ubiquitin carboxyl-terminal hydrolase 7,46,16.95529,16.727845,0.227444999999996,1.17075970719789,Up,0.0151725872012753,0.356965078202713
P22670,RFX1,MHC class II regulatory factor RFX1,19,14.65155,14.36209,0.289460000000002,1.22218272971028,Up,0.0152151521122556,0.356965078202713
Q86UP2,KTN1,Kinectin,52,15.056005,14.684875,0.371129999999999,1.29336547067863,Up,0.0152423811847741,0.356965078202713
P00492,HPRT1,Hypoxanthine-guanine phosphoribosyltransferase,8,11.86993,12.775365,-0.905435,0.533871707277479,Down,0.015249694405669,0.356965078202713
Q5R3I4,TTC38,Tetratricopeptide repeat protein 38,4,10.719215,11.666375,-0.94716,0.518652444696322,Down,0.015251701076799,0.356965078202713
Q9UEG4,ZNF629,Zinc finger protein 629,15,13.43746,13.64318,-0.20572,0.867105836135239,Down,0.015298444760665,0.356965078202713
O76027,ANXA9,Annexin A9,13,12.88862,13.64804,-0.75942,0.590733772943191,Down,0.0153422413842345,0.356965078202713
Q53T94,TAF1B,TATA box-binding protein-associated factor RNA polymerase I subunit B,15,14.616315,14.35104,0.265274999999999,1.20186512178446,Up,0.0154823120209359,0.356965078202713
Q14691,GINS1,DNA replication complex GINS protein PSF1,2,3.564783,11.3428655,-7.7780825,0.00455579169696813,Down,0.0155002129380791,0.356965078202713
Q14527,HLTF,Helicase-like transcription factor,43,15.44645,15.96506,-0.51861,0.698044056993236,Down,0.0155399485899514,0.356965078202713
P61978,HNRNPK,Heterogeneous nuclear ribonucleoprotein K,26,20.043655,19.924955,0.1187,1.08575605622146,Up,0.0155823726211305,0.356965078202713
P30837,ALDH1B1,"Aldehyde dehydrogenase X, mitochondrial",9,13.934225,14.008695,-0.07447,0.949690942941315,Down,0.0156001745855962,0.356965078202713
Q99523,SORT1,Sortilin,2,3.564783,9.6185175,-6.0537345,0.0150537371870982,Down,0.0157183531715358,0.356965078202713
Q9UPY3,DICER1,Endoribonuclease Dicer,5,11.98443,12.125345,-0.140915,0.906943762227545,Down,0.0157248971410626,0.356965078202713
Q53H80,AKIRIN2,Akirin-2,1,10.6367245,3.479408,7.1573165,142.746988551222,Up,0.0158265822316252,0.356965078202713
P04899,GNAI2,Guanine nucleotide-binding protein G(i) subunit alpha-2,7,14.462945,15.246695,-0.78375,0.580855011745743,Down,0.0158980018003769,0.356965078202713
O95365,ZBTB7A,Zinc finger and BTB domain-containing protein 7A,6,13.670235,13.41351,0.256724999999999,1.19476344274924,Up,0.0159381004780854,0.356965078202713
P27338,MAOB,Amine oxidase [flavin-containing] B,17,12.343795,12.84432,-0.500525,0.706849510237467,Down,0.0159690863229366,0.356965078202713
P62879,GNB2,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,4,14.996595,15.407615,-0.41102,0.75209144942072,Down,0.0160384527757941,0.356965078202713
Q6Q0C0,TRAF7,E3 ubiquitin-protein ligase TRAF7,26,14.53599,14.143805,0.392185000000001,1.31237953315441,Up,0.0160428942424263,0.356965078202713
P55809,OXCT1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",12,13.91426,14.195705,-0.281445,0.822766523393279,Down,0.0160726446166008,0.356965078202713
Q6XQN6,NAPRT,Nicotinate phosphoribosyltransferase,6,12.89298,13.064455,-0.171475,0.88793439982786,Down,0.0161207397617464,0.356965078202713
Q14126,DSG2,Desmoglein-2,22,16.341355,16.55312,-0.211765,0.863480199053045,Down,0.0161226961271538,0.356965078202713
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,8,14.0451,14.600205,-0.555105,0.680607521522722,Down,0.0161918774681923,0.356965078202713
P62805,H4C1,Histone H4,8,17.482525,18.033845,-0.55132,0.682395481993566,Down,0.0161971430960234,0.356965078202713
Q9NZW5,PALS2,Protein PALS2,13,12.470885,12.041605,0.429279999999999,1.34656138618153,Up,0.0162622997305387,0.356965078202713
Q9BX10,GTPBP2,GTP-binding protein 2,11,11.751025,11.35514,0.395885000000002,1.31574963991115,Up,0.0162955316809446,0.356965078202713
Q9BY78,RNF26,E3 ubiquitin-protein ligase RNF26,2,10.9680515,3.479408,7.4886435,179.599995038633,Up,0.0163625788353402,0.356965078202713
P23526,AHCY,Adenosylhomocysteinase,15,13.899745,14.544705,-0.64496,0.639510521389506,Down,0.0164108016552766,0.356965078202713
P13489,RNH1,Ribonuclease inhibitor,15,13.972075,14.82176,-0.849685,0.554905881713811,Down,0.0166417077311474,0.356965078202713
Q9Y5U2,TSSC4,U5 small nuclear ribonucleoprotein TSSC4,4,12.238295,11.769915,0.46838,1.38355500377645,Up,0.0166566465891546,0.356965078202713
Q8N128,FAM177A1,Protein FAM177A1,1,3.564783,10.242372,-6.677589,0.00976889433929432,Down,0.0167950953993971,0.356965078202713
P06454,PTMA,Prothymosin alpha,3,13.87189,14.869105,-0.997215,0.500966139674113,Down,0.0167974648570377,0.356965078202713
Q96B97,SH3KBP1,SH3 domain-containing kinase-binding protein 1,1,11.144081,3.479408,7.664673,202.906743094273,Up,0.0168642279732317,0.356965078202713
O94973,AP2A2,AP-2 complex subunit alpha-2,22,15.49388,15.699285,-0.205405,0.867295181874644,Down,0.0169128435476428,0.356965078202713
Q9HCJ3,RAVER2,Ribonucleoprotein PTB-binding 2,5,11.984355,12.206385,-0.22203,0.857358208186064,Down,0.0169597494294515,0.356965078202713
O00267,SUPT5H,Transcription elongation factor SPT5,25,15.11314,14.812515,0.300624999999998,1.23167788156468,Up,0.0169667604956113,0.356965078202713
Q9UNM6,PSMD13,26S proteasome non-ATPase regulatory subunit 13,12,14.516135,14.12989,0.386245000000001,1.30698718899686,Up,0.0171250473221239,0.356965078202713
Q9Y5Y2,NUBP2,Cytosolic Fe-S cluster assembly factor NUBP2,2,9.7912915,10.527421,-0.7361295,0.600347822566562,Down,0.0171944657965384,0.356965078202713
P0CG12,DERPC,Decreased expression in renal and prostate cancer protein,10,14.563405,15.03777,-0.474365,0.719783531906421,Down,0.0172236965459739,0.356965078202713
Q70UQ0,IKBIP,Inhibitor of nuclear factor kappa-B kinase-interacting protein,6,14.9693,14.597705,0.371595000000001,1.29378240693979,Up,0.0172716448551672,0.356965078202713
Q96EY8,MMAB,Corrinoid adenosyltransferase MMAB,7,17.42079,16.92866,0.49213,1.40651993449557,Up,0.0173274953811322,0.356965078202713
Q9UI95,MAD2L2,Mitotic spindle assembly checkpoint protein MAD2B,3,13.541535,13.3815,0.160035000000001,1.11731424395605,Up,0.0173420488693702,0.356965078202713
Q8WVM0,TFB1M,"Dimethyladenosine transferase 1, mitochondrial",11,14.21782,13.921575,0.296244999999999,1.22794419699382,Up,0.0173549562159113,0.356965078202713
P55060,CSE1L,Exportin-2,34,14.51577,14.969315,-0.453545,0.7302462755207,Down,0.0175170634908358,0.356965078202713
Q9BW19,KIFC1,Kinesin-like protein KIFC1,28,15.410645,14.87089,0.539755000000001,1.45372562313183,Up,0.0175307640948829,0.356965078202713
