Accession,Gene Name,Description,Unique peptides,Average(ADCY7),Average(NC),log2FoldChange,FoldChange,Regulation,p-value,q-value
P62861,FAU,Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein,1,16.205175,16.07354,0.131634999999999,1.09553456254002,Up,0.147408665616045,0.446690387573415
Q6UWZ7,ABRAXAS1,BRCA1-A complex subunit Abraxas 1,9,13.422545,13.2177,0.204844999999999,1.15256251135113,Up,0.147500815949116,0.446690387573415
Q9Y3C1,NOP16,Nucleolar protein 16,9,13.96508,13.554185,0.410895,1.32951034229417,Up,0.147596118785146,0.446690387573415
Q96PN7,TRERF1,Transcriptional-regulating factor 1,8,12.18897,12.651295,-0.462325,0.725815614993453,Down,0.147624829046949,0.446690387573415
Q96SB4,SRPK1,SRSF protein kinase 1,17,14.184355,13.997345,0.187010000000001,1.13840191984834,Up,0.147715057897162,0.446690387573415
Q13561,DCTN2,Dynactin subunit 2,12,14.613035,14.654905,-0.04187,0.971395023161852,Down,0.147724701922249,0.446690387573415
Q9UK59,DBR1,Lariat debranching enzyme,9,13.051865,13.318245,-0.26638,0.831403081345412,Down,0.147729723323727,0.446690387573415
O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4,22,14.409455,14.25052,0.158935,1.11646265910801,Up,0.147763164109088,0.446690387573415
Q6P1X6,C8orf82,UPF0598 protein C8orf82,7,12.94719,12.65512,0.292069999999999,1.2243957990137,Up,0.147817589115471,0.446690387573415
P13056,NR2C1,Nuclear receptor subfamily 2 group C member 1,11,14.975635,14.55316,0.422475000000002,1.34022479198619,Up,0.14790570201983,0.446690387573415
P78549,NTHL1,Endonuclease III-like protein 1,8,14.548835,14.76917,-0.220335,0.858366096991505,Down,0.148021824476053,0.446690387573415
Q01581,HMGCS1,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",13,13.80504,13.96597,-0.16093,0.894448299631953,Down,0.148072079504108,0.446690387573415
Q9P2E9,RRBP1,Ribosome-binding protein 1,22,15.67268,15.456275,0.216404999999998,1.16183484178072,Up,0.148151290364224,0.446690387573415
P28482,MAPK1,Mitogen-activated protein kinase 1,11,13.94122,14.092895,-0.151675,0.900204698616853,Down,0.148162651453042,0.446690387573415
O75347,TBCA,Tubulin-specific chaperone A,5,12.752755,13.295325,-0.54257,0.686546812670166,Down,0.148355644643776,0.446690387573415
P00387,CYB5R3,NADH-cytochrome b5 reductase 3,6,13.20962,13.675135,-0.465515,0.724212508412377,Down,0.148407477282566,0.446690387573415
